"PLAYER","Team","BYE","SACK","INT","FR","FF","TD","SAFETY","PA","YDS AGN","PPR"
"Chicago Bears","CHI","6","41.00","15.90","11.50","16.90","3.30","0.30","313.40","5,134.10","115.60"
"Los Angeles Rams","LAR","9","40.40","16.00","11.10","16.60","2.90","0.30","339.80","5,669.10","112.00"
"New Orleans Saints","NO","9","40.70","14.70","11.50","17.30","2.80","0.30","334.10","5,630.30","109.90"
"Buffalo Bills","BUF","6","36.10","16.40","11.30","17.30","3.00","0.30","342.20","5,151.00","109.50"
"Pittsburgh Steelers","PIT","7","44.50","14.10","10.10","13.90","2.60","0.30","337.30","5,413.00","108.50"
"Cleveland Browns","CLE","7","37.30","15.80","11.00","16.50","2.90","0.30","344.90","5,403.60","108.30"
"Minnesota Vikings","MIN","12","43.70","14.70","9.10","12.90","2.80","0.30","333.50","5,235.70","108.10"
"Baltimore Ravens","BAL","8","36.00","16.60","9.50","12.60","3.30","0.30","312.00","5,101.10","108.00"
"Washington Redskins","WAS","10","43.00","13.50","10.60","16.80","2.70","0.30","368.70","5,633.50","107.40"
"Denver Broncos","DEN","10","40.70","13.80","11.50","17.60","2.50","0.30","351.00","5,544.80","106.30"
"Indianapolis Colts","IND","6","39.60","14.20","10.80","17.30","2.80","0.30","352.50","5,640.90","106.40"
"Arizona Cardinals","ARI","12","43.10","13.00","10.50","15.40","2.60","0.80","394.40","5,791.60","105.70"
"Carolina Panthers","CAR","7","38.50","13.90","11.40","17.60","2.90","0.30","386.00","5,929.80","106.50"
"New England Patriots","NE","10","37.20","15.70","10.30","14.40","2.90","0.30","318.40","5,501.10","106.60"
"Los Angeles Chargers","LAC","12","39.40","14.90","10.00","13.60","2.80","0.30","324.40","5,502.40","106.00"
"Kansas City Chiefs","KC","12","38.50","14.00","10.90","17.00","2.80","0.30","368.20","5,898.90","105.10"
"Philadelphia Eagles","PHI","10","40.80","13.60","10.00","13.30","2.70","0.30","335.00","5,450.00","104.20"
"Houston Texans","HOU","10","35.60","13.80","12.10","19.00","2.80","0.30","351.10","5,645.70","104.20"
"Jacksonville Jaguars","JAC","10","36.90","14.40","9.80","12.60","2.80","0.30","335.00","5,171.40","102.10"
"Seattle Seahawks","SEA","11","34.60","13.20","11.60","18.00","2.70","0.30","355.80","5,714.70","100.40"
"New York Jets","NYJ","4","35.90","14.00","10.00","14.60","2.70","0.30","377.10","5,660.70","100.10"
"Tennessee Titans","TEN","11","36.60","14.20","9.40","14.00","2.70","0.20","345.40","5,653.60","100.00"
"Dallas Cowboys","DAL","8","37.30","13.20","10.70","15.20","2.40","0.30","342.40","5,373.60","99.50"
"Green Bay Packers","GB","11","38.60","13.70","9.20","12.50","2.40","0.20","377.30","5,745.30","98.80"
"San Francisco 49ers","SF","4","39.10","11.40","9.70","13.20","2.60","0.80","402.60","5,630.70","96.90"
"Cincinnati Bengals","CIN","9","33.60","14.50","9.50","12.70","2.60","0.30","379.00","5,922.90","97.20"
"Detroit Lions","DET","5","37.80","12.20","9.90","13.60","2.40","0.30","368.70","5,744.20","96.40"
"New York Giants","NYG","11","33.80","14.60","8.90","11.20","2.50","0.30","374.30","5,710.60","95.80"
"Atlanta Falcons","ATL","9","34.60","13.70","9.30","13.70","2.50","0.30","398.40","6,035.40","95.60"
"Miami Dolphins","MIA","5","28.70","14.50","8.50","12.50","2.60","0.30","417.40","6,182.10","90.30"
"Tampa Bay Buccaneers","TB","7","34.50","11.20","9.80","14.50","2.10","0.30","417.30","6,182.90","89.10"
"Oakland Raiders","OAK","6","26.80","13.20","8.10","10.90","2.20","0.20","427.20","6,226.30","82.60"